,month,hour,year,day,count,date,maxtemp,atemp,mintemp,maxhum,ahum,minhum,maxwind,awind,minwind,prec,day_of_week,vehicle_type,vehicle_encoded
63,1,2,2019,12,7,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
64,1,2,2019,13,3,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,bicycle,1
65,1,2,2019,17,1,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
66,1,2,2019,18,3,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
67,1,2,2019,19,18,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,bicycle,1
68,1,2,2019,20,14,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,bicycle,1
69,1,2,2019,21,3,2019-01-21,67,49,29,92,72,48,22,10,0,0,0,bicycle,1
70,1,2,2019,22,2,2019-01-22,71,60,44,87,75,61,25,12,5,0,1,bicycle,1
71,1,2,2019,23,2,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,bicycle,1
72,1,2,2019,24,2,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
73,1,2,2019,25,2,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
74,1,2,2019,26,8,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
75,1,2,2019,27,4,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,bicycle,1
76,1,2,2019,29,1,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
77,1,2,2019,30,1,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
78,1,2,2019,31,5,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
79,1,3,2019,1,5,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
80,1,3,2019,5,3,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,bicycle,1
81,1,3,2019,6,2,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,bicycle,1
82,1,3,2019,7,1,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,bicycle,1
83,1,3,2019,8,1,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,bicycle,1
84,1,3,2019,10,1,2019-01-10,60,51,40,86,56,32,10,3,0,0,3,bicycle,1
85,1,3,2019,12,1,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
86,1,3,2019,13,1,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,bicycle,1
87,1,3,2019,16,1,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,bicycle,1
88,1,3,2019,17,1,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
89,1,3,2019,18,4,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
90,1,3,2019,19,5,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,bicycle,1
91,1,3,2019,20,2,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,bicycle,1
92,1,3,2019,23,1,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,bicycle,1
93,1,3,2019,24,1,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
94,1,3,2019,25,1,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
95,1,3,2019,26,2,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
96,1,3,2019,27,2,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,bicycle,1
97,1,3,2019,31,2,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
98,1,4,2019,1,1,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
99,1,4,2019,5,1,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,bicycle,1
100,1,4,2019,6,2,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,bicycle,1
101,1,4,2019,9,1,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,bicycle,1
102,1,4,2019,11,1,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,bicycle,1
103,1,4,2019,12,1,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
104,1,4,2019,13,3,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,bicycle,1
105,1,4,2019,19,2,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,bicycle,1
106,1,4,2019,20,2,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,bicycle,1
107,1,4,2019,25,5,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
108,1,4,2019,26,5,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
109,1,4,2019,28,1,2019-01-28,71,55,38,97,65,39,30,13,3,0,0,bicycle,1
110,1,4,2019,29,2,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
111,1,4,2019,30,1,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
112,1,4,2019,31,1,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
113,1,5,2019,3,1,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,bicycle,1
114,1,5,2019,5,1,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,bicycle,1
115,1,5,2019,6,1,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,bicycle,1
116,1,5,2019,8,1,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,bicycle,1
117,1,5,2019,9,1,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,bicycle,1
118,1,5,2019,11,1,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,bicycle,1
119,1,5,2019,13,1,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,bicycle,1
120,1,5,2019,15,1,2019-01-15,51,49,47,86,74,63,9,4,0,0,1,bicycle,1
121,1,5,2019,16,2,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,bicycle,1
122,1,5,2019,17,2,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
123,1,5,2019,18,4,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
124,1,5,2019,24,2,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
125,1,5,2019,25,4,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
126,1,5,2019,26,1,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
127,1,5,2019,27,1,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,bicycle,1
128,1,5,2019,29,2,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
129,1,5,2019,30,2,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
130,1,5,2019,31,1,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
131,1,6,2019,1,2,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
132,1,6,2019,2,1,2019-01-02,41,38,37,97,92,79,15,10,8,1,2,bicycle,1
133,1,6,2019,7,1,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,bicycle,1
134,1,6,2019,8,2,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,bicycle,1
135,1,6,2019,9,1,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,bicycle,1
136,1,6,2019,11,1,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,bicycle,1
137,1,6,2019,12,1,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
138,1,6,2019,15,1,2019-01-15,51,49,47,86,74,63,9,4,0,0,1,bicycle,1
139,1,6,2019,16,1,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,bicycle,1
140,1,6,2019,17,1,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
141,1,6,2019,18,3,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
142,1,6,2019,21,2,2019-01-21,67,49,29,92,72,48,22,10,0,0,0,bicycle,1
143,1,6,2019,22,2,2019-01-22,71,60,44,87,75,61,25,12,5,0,1,bicycle,1
144,1,6,2019,23,2,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,bicycle,1
145,1,6,2019,24,1,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
146,1,6,2019,25,3,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
147,1,6,2019,27,1,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,bicycle,1
148,1,6,2019,28,3,2019-01-28,71,55,38,97,65,39,30,13,3,0,0,bicycle,1
149,1,6,2019,29,7,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
150,1,6,2019,30,3,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
151,1,6,2019,31,1,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
152,1,7,2019,1,2,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
153,1,7,2019,2,1,2019-01-02,41,38,37,97,92,79,15,10,8,1,2,bicycle,1
154,1,7,2019,3,4,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,bicycle,1
155,1,7,2019,4,3,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,bicycle,1
156,1,7,2019,7,5,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,bicycle,1
157,1,7,2019,8,8,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,bicycle,1
158,1,7,2019,9,13,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,bicycle,1
159,1,7,2019,10,4,2019-01-10,60,51,40,86,56,32,10,3,0,0,3,bicycle,1
160,1,7,2019,11,5,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,bicycle,1
161,1,7,2019,12,1,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
162,1,7,2019,14,9,2019-01-14,50,43,36,86,70,57,14,6,0,0,0,bicycle,1
163,1,7,2019,15,9,2019-01-15,51,49,47,86,74,63,9,4,0,0,1,bicycle,1
164,1,7,2019,16,9,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,bicycle,1
165,1,7,2019,17,7,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
166,1,7,2019,18,8,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
167,1,7,2019,19,1,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,bicycle,1
168,1,7,2019,20,3,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,bicycle,1
169,1,7,2019,21,6,2019-01-21,67,49,29,92,72,48,22,10,0,0,0,bicycle,1
170,1,7,2019,22,10,2019-01-22,71,60,44,87,75,61,25,12,5,0,1,bicycle,1
171,1,7,2019,23,5,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,bicycle,1
172,1,7,2019,24,6,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
173,1,7,2019,25,11,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
174,1,7,2019,26,3,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
175,1,7,2019,28,11,2019-01-28,71,55,38,97,65,39,30,13,3,0,0,bicycle,1
176,1,7,2019,29,17,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
177,1,7,2019,30,12,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
178,1,7,2019,31,8,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
179,1,8,2019,1,4,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
180,1,8,2019,3,4,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,bicycle,1
181,1,8,2019,4,5,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,bicycle,1
182,1,8,2019,5,2,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,bicycle,1
183,1,8,2019,6,3,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,bicycle,1
184,1,8,2019,7,10,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,bicycle,1
185,1,8,2019,8,16,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,bicycle,1
186,1,8,2019,9,24,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,bicycle,1
187,1,8,2019,10,12,2019-01-10,60,51,40,86,56,32,10,3,0,0,3,bicycle,1
188,1,8,2019,11,16,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,bicycle,1
189,1,8,2019,12,5,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
190,1,8,2019,13,1,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,bicycle,1
191,1,8,2019,14,10,2019-01-14,50,43,36,86,70,57,14,6,0,0,0,bicycle,1
192,1,8,2019,15,21,2019-01-15,51,49,47,86,74,63,9,4,0,0,1,bicycle,1
193,1,8,2019,16,23,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,bicycle,1
194,1,8,2019,17,24,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
195,1,8,2019,18,27,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
196,1,8,2019,19,3,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,bicycle,1
197,1,8,2019,20,4,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,bicycle,1
